dataset,extraction,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
S2_3P,mean,12,0.8629999999999999,0.843,0.03207023542164917
S2_3P,mean,13,0.8690000000000001,0.8405000000000001,0.027046256672597014
S2_3P,mean,14,0.8699999999999999,0.8479999999999999,0.02889636655359976
S2_3P,mean,15,0.8755000000000001,0.85,0.023313086453749524
S2_3P,mean,16,0.892,0.85,0.03603470549345446
S2_3P,mean,17,0.933,0.8554999999999999,0.023843238035132705
S2_3P,mean,18,0.9345000000000001,0.859,0.019899748742132427
S2_3P,mean,19,0.942,0.8620000000000001,0.04087786687193942
S2_3P,mean,20,0.9564999999999999,0.867,0.028044607324760325
S2_3P,mean,21,0.9510000000000002,0.8745,0.030232432915661956
S2_3P,mean,22,0.9434999999999999,0.875,0.028792360097775933
S2_3P,mean,23,0.9435,0.8755000000000001,0.033860005906674075
S2_3P,mean,24,0.9470000000000001,0.8755000000000001,0.027083205127901657
S2_3P,mean,25,0.9490000000000001,0.8765000000000001,0.028661821295933018
S2_3P,mean,26,0.9535,0.8795,0.023695991222145597
S2_3P,mean,27,0.9505000000000001,0.8775000000000001,0.020760539492026657
S2_3P,mean,28,0.9469999999999998,0.8815,0.024667792767088026
S2_3P,mean,29,0.9410000000000001,0.8795,0.025179356624028353
S2_3P,mean,30,0.9390000000000001,0.8845000000000001,0.02581666128685121
S2_3P,mean,31,0.9355,0.8564999999999999,0.02039607805437111
