model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,42, Burn,0.0803
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,43,割,0.08
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,44,无情,0.08
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,45,压力,0.0795
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,46,PTS,0.0786
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,47,gu,0.0786
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,48, guit,0.0785
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,49, remorse,0.0785
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,50, Hollow,0.0783
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,51, célib,0.0781
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,52, Pressure,0.0778
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,53, embarrassed,0.0777
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,54, burned,0.0774
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,55,intro,0.077
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,56,โด,0.0768
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,57,aches,0.0767
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,58, burnt,0.0766
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,59,Pressure,0.0764
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,top,60, guilt,0.0762
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,1,好奇心,-0.106
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,2,它的,-0.097
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,3, fasc,-0.0959
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,4, its,-0.0956
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,5,好奇,-0.092
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,6,赞叹,-0.0912
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,7,惊奇,-0.0901
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,8,Moved,-0.088
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,9,安居,-0.0855
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,10,cur,-0.0853
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,11,惊叹,-0.0841
Qwen_2.5_32B_instruct_abliterated,60,s1_pain_vector,bottom,12, interest,-0.0833
