model,layer,vector,end,rank,token,score
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,53,бор,-0.0607
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,54,满足,-0.0606
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,55,Lo,-0.0606
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,56,(now,-0.0605
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,57,传播,-0.0605
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,58,栖,-0.0603
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,59,AMIL,-0.0597
Qwen_2.5_32B_instruct_abliterated,28,s2_pain_vector,bottom,60, Lane,-0.0595
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,1,不懂,0.0745
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,2,建档立,0.0731
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,3,ours,0.0709
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,4,嘴角,0.0704
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,5,爿,0.0703
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,6,殖民,0.0696
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,7,VO,0.0693
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,8,中关,0.0692
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,9, reunion,0.0689
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,10,厢,0.0685
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,11,Thread,0.0682
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,12,的情感,0.0678
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,13,驷,0.0671
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,14,为自己,0.0647
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,15,ipsis,0.0642
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,16,旗帜,0.0642
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,17,gun,0.0632
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,18,Fmt,0.0632
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,19,adan,0.063
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,20,班子成员,0.0623
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,21, Tenn,0.0622
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,22, neuroscience,0.0618
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,23, SUBSTITUTE,0.0618
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,24,唁,0.0618
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,25, humiliating,0.0617
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,26,ليم,0.0617
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,27,�,0.0614
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,28,着重,0.0614
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,29,Gran,0.0613
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,30,_REPLY,0.061
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,31,ég,0.061
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,32,屠,0.0609
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,33,手腕,0.0609
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,34,plain,0.0607
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,35,职场,0.0606
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,36,叭,0.0604
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,37,VERSION,0.0602
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,38, Specifies,0.0602
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,39,侃,0.06
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,40, tips,0.0596
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,41,gran,0.0596
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,42,乡村振兴,0.0596
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,43,_KEYBOARD,0.0594
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,44, сами,0.0594
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,45,自己,0.0593
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,46,ego,0.0592
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,47,llib,0.059
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,48, humili,0.059
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,49,槐,0.059
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,50,筠,0.0588
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,51,mb,0.0587
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,52,�,0.0587
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,53,Reverse,0.0587
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,54,Tick,0.0586
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,55, Tick,0.0586
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,56,✗,0.0586
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,57,知道自己,0.0582
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,58, Soph,0.0581
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,59, Gran,0.058
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,top,60,slave,0.0578
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,1,例行,-0.085
Qwen_2.5_32B_instruct_abliterated,28,s1_pain_vector,bottom,2,okus,-0.0811
