model,condition,probe,mean_abs_proj,kind
Gemma_2_27B_base,s1s2_fear,s2@L13,2.815896987915039,strict_fixed
Gemma_2_27B_base,s1s2_fear,negemotion@L13,452.69805908203125,strict_fixed
Gemma_2_27B_base,s1s2_fear,fear@L13,4.461771488189697,strict_fixed
Gemma_2_27B_base,random,s1_pain_vector,806.63720703125,layerwise
Gemma_2_27B_base,random,s2_pain_vector,844.20703125,layerwise
Gemma_2_27B_base,random,s3_pain_vector,1740.28466796875,layerwise
Gemma_2_27B_base,random,fear_vector,2002.7578125,layerwise
Gemma_2_27B_base,random,negemotion_vector,2460.44970703125,layerwise
Gemma_2_27B_base,random,negworld_vector,2345.791748046875,layerwise
Gemma_2_27B_base,random,bodysens_vector,1148.0672607421875,layerwise
Gemma_2_27B_base,random,arousal_vector,2786.5078125,layerwise
Gemma_2_27B_base,random,random_vector,1379.2413330078125,layerwise
Gemma_2_27B_base,random,numb_vector,1000.4151000976562,layerwise
Gemma_2_27B_base,random,s1@L6,1464.1767578125,strict_fixed
Gemma_2_27B_base,random,s2@L13,186.585205078125,strict_fixed
Gemma_2_27B_base,random,negemotion@L13,670.3252563476562,strict_fixed
Gemma_2_27B_base,random,fear@L13,670.1009521484375,strict_fixed
